Date,FeedIn,SelfConsumption,Production,Consumption,Purchased
2018-05-17 00:00:00,10678.0,7923.0,18601.0,16119.0,8196.0
2018-05-18 00:00:00,40481.0,12502.0,52983.0,18399.0,5897.0
2018-05-19 00:00:00,28813.0,8765.0,37578.0,15416.0,6651.0
2018-05-20 00:00:00,18955.0,8635.0,27590.0,13475.0,4840.0
2018-05-21 00:00:00,32092.0,6481.0,38573.0,11805.0,5324.0
2018-05-22 00:00:00,22856.0,14319.0,37175.0,22793.0,8474.0
2018-05-23 00:00:00,29104.0,11690.0,40794.0,17205.0,5515.0
2018-05-24 00:00:00,42703.0,9050.0,51753.0,14342.0,5292.0
2018-05-25 00:00:00,38348.0,10895.0,49243.0,16761.0,5866.0
2018-05-26 00:00:00,35658.0,7573.0,43231.0,14663.0,7090.0
2018-05-27 00:00:00,32433.0,8913.0,41346.0,14505.0,5592.0
2018-05-28 00:00:00,34249.0,9482.0,43731.0,14767.0,5285.0
2018-05-29 00:00:00,23729.0,10111.0,33840.0,15850.0,5739.0
2018-05-30 00:00:00,29279.0,9538.0,38817.0,14430.0,4892.0
2018-05-31 00:00:00,31792.0,9433.0,41225.0,15231.0,5798.0
2018-06-01 00:00:00,34292.0,7568.0,41860.0,12565.0,4997.0
2018-06-02 00:00:00,38801.0,10100.0,48901.0,14982.0,4882.0
2018-06-03 00:00:00,28277.0,9998.0,38275.0,14942.0,4944.0
2018-06-04 00:00:00,19520.0,6815.0,26335.0,12518.0,5703.0
2018-06-05 00:00:00,33672.0,9651.0,43323.0,15540.0,5889.0
2018-06-06 00:00:00,35247.0,8564.0,43811.0,13603.0,5039.0
2018-06-07 00:00:00,32637.0,8939.0,41576.0,14112.0,5173.0
2018-06-08 00:00:00,18778.0,5855.0,24633.0,11760.0,5905.0
2018-06-09 00:00:00,32651.0,10058.0,42709.0,15654.0,5596.0
2018-06-10 00:00:00,31869.0,9984.0,41853.0,15315.0,5331.0
2018-06-11 00:00:00,14083.0,8629.0,22712.0,13626.0,4997.0
2018-06-12 00:00:00,10229.0,5057.0,15286.0,8030.0,2973.0
2018-06-13 00:00:00,5462.0,3423.0,8885.0,15002.0,11579.0
2018-06-14 00:00:00,33119.0,10528.0,43647.0,18683.0,8155.0
2018-06-15 00:00:00,42362.0,8022.0,50384.0,12234.0,4212.0
2018-06-16 00:00:00,38946.0,10309.0,49255.0,14671.0,4362.0
2018-06-17 00:00:00,20185.0,10089.0,30274.0,15439.0,5350.0
2018-06-18 00:00:00,40285.0,7723.0,48008.0,12465.0,4742.0
2018-06-19 00:00:00,39903.0,10370.0,50273.0,15519.0,5149.0
2018-06-20 00:00:00,42381.0,7201.0,49582.0,11322.0,4121.0
2018-06-21 00:00:00,35521.0,8644.0,44165.0,13283.0,4639.0
2018-06-22 00:00:00,35465.0,9335.0,44800.0,14218.0,4883.0
2018-06-23 00:00:00,42752.0,9504.0,52256.0,13216.0,3712.0
2018-06-24 00:00:00,20944.0,10449.0,31393.0,14893.0,4444.0
2018-06-25 00:00:00,42168.0,9527.0,51695.0,14218.0,4691.0
2018-06-26 00:00:00,36667.0,10468.0,47135.0,14800.0,4332.0
2018-06-27 00:00:00,34975.0,10782.0,45757.0,15071.0,4289.0
2018-06-28 00:00:00,19468.0,7466.0,26934.0,11986.0,4520.0
2018-06-29 00:00:00,41625.0,6772.0,48397.0,11905.0,5133.0
2018-06-30 00:00:00,34856.0,11916.0,46772.0,16845.0,4929.0
2018-07-01 00:00:00,41260.0,7832.0,49092.0,11772.0,3940.0
2018-07-02 00:00:00,37168.0,8439.0,45607.0,14919.0,6480.0
2018-07-03 00:00:00,20034.0,9624.0,29658.0,14882.0,5258.0
2018-07-04 00:00:00,37352.0,11130.0,48482.0,15730.0,4600.0
2018-07-05 00:00:00,10787.0,6869.0,17656.0,11589.0,4720.0
2018-07-06 00:00:00,10214.0,7930.0,18144.0,10587.0,2657.0
2018-07-07 00:00:00,40939.0,9171.0,50110.0,14726.0,5555.0
2018-07-08 00:00:00,35251.0,10571.0,45822.0,14678.0,4107.0
2018-07-09 00:00:00,37963.0,8871.0,46834.0,13269.0,4398.0
2018-07-10 00:00:00,20374.0,10362.0,30736.0,15367.0,5005.0
2018-07-11 00:00:00,40125.0,9914.0,50039.0,14751.0,4837.0
2018-07-12 00:00:00,40689.0,9264.0,49953.0,13417.0,4153.0
2018-07-13 00:00:00,38157.0,9551.0,47708.0,14312.0,4761.0
2018-07-14 00:00:00,29616.0,6547.0,36163.0,10391.0,3844.0
2018-07-15 00:00:00,31010.0,6531.0,37541.0,12489.0,5958.0
2018-07-16 00:00:00,35432.0,11766.0,47198.0,17183.0,5417.0
2018-07-17 00:00:00,27393.0,11105.0,38498.0,16371.0,5266.0
2018-07-18 00:00:00,34005.0,15073.0,49078.0,20552.0,5479.0
2018-07-19 00:00:00,35298.0,11648.0,46946.0,19236.0,7588.0
2018-07-20 00:00:00,13156.0,12677.0,25833.0,18443.0,5766.0
2018-07-21 00:00:00,13003.0,3916.0,16919.0,10107.0,6191.0
2018-07-22 00:00:00,15838.0,3881.0,19719.0,11317.0,7436.0
2018-07-23 00:00:00,33537.0,4350.0,37887.0,7051.0,2701.0
2018-07-24 00:00:00,41662.0,5231.0,46893.0,6679.0,1448.0
2018-07-25 00:00:00,43336.0,4794.0,48130.0,8144.0,3350.0
2018-07-26 00:00:00,42389.0,4820.0,47209.0,6293.0,1473.0
2018-07-27 00:00:00,43180.0,4797.0,47977.0,8052.0,3255.0
2018-07-28 00:00:00,12835.0,3961.0,16796.0,5847.0,1886.0
2018-07-29 00:00:00,42755.0,4355.0,47110.0,7784.0,3429.0
2018-07-30 00:00:00,40242.0,4508.0,44750.0,7546.0,3038.0
2018-07-31 00:00:00,40679.0,4963.0,45642.0,7553.0,2590.0
2018-08-01 00:00:00,24189.0,4187.0,28376.0,5964.0,1777.0
2018-08-02 00:00:00,39240.0,4779.0,44019.0,7895.0,3116.0
2018-08-03 00:00:00,38494.0,5411.0,43905.0,6934.0,1523.0
2018-08-04 00:00:00,32185.0,2580.0,34765.0,5893.0,3313.0
2018-08-05 00:00:00,28728.0,11150.0,39878.0,21450.0,10300.0
2018-08-06 00:00:00,26737.0,6270.0,33007.0,10284.0,4014.0
2018-08-07 00:00:00,17899.0,11062.0,28961.0,16533.0,5471.0
2018-08-08 00:00:00,21119.0,8680.0,29799.0,14022.0,5342.0
2018-08-09 00:00:00,21097.0,8069.0,29166.0,13610.0,5541.0
2018-08-10 00:00:00,30047.0,6101.0,36148.0,11383.0,5282.0
2018-08-11 00:00:00,36103.0,8994.0,45097.0,13562.0,4568.0
2018-08-12 00:00:00,36366.0,8967.0,45333.0,13747.0,4780.0
2018-08-13 00:00:00,14432.0,6970.0,21402.0,13434.0,6464.0
2018-08-14 00:00:00,13327.0,10007.0,23334.0,15535.0,5528.0
2018-08-15 00:00:00,33666.0,6480.0,40146.0,12069.0,5589.0
